entrez_id,u_symbol
1,A1BG
2,A2M
9,NAT1
10,NAT2
12,SERPINA3
13,AADAC
14,AAMP
15,AANAT
16,AARS
18,ABAT
19,ABCA1
20,ABCA2
21,ABCA3
22,ABCB7
23,ABCF1
24,ABCA4
25,ABL1
26,AOC1
27,ABL2
28,ABO
29,ABR
30,ACAA1
31,ACACA
32,ACACB
33,ACADL
34,ACADM
35,ACADS
36,ACADSB
37,ACADVL
38,ACAT1
39,ACAT2
40,ASIC2
41,ASIC1
43,ACHE
47,ACLY
48,ACO1
49,ACR
50,ACO2
51,ACOX1
52,ACP1
53,ACP2
54,ACP5
55,ACPP
56,ACRV1
58,ACTA1
59,ACTA2
60,ACTB
70,ACTC1
71,ACTG1
72,ACTG2
81,ACTN4
86,ACTL6A
87,ACTN1
88,ACTN2
89,ACTN3
90,ACVR1
91,ACVR1B
92,ACVR2A
93,ACVR2B
94,ACVRL1
95,ACY1
97,ACYP1
98,ACYP2
100,ADA
101,ADAM8
102,ADAM10
103,ADAR
104,ADARB1
105,ADARB2
107,ADCY1
108,ADCY2
109,ADCY3
111,ADCY5
112,ADCY6
113,ADCY7
114,ADCY8
115,ADCY9
116,ADCYAP1
117,ADCYAP1R1
118,ADD1
119,ADD2
120,ADD3
123,PLIN2
124,ADH1A
125,ADH1B
126,ADH1C
127,ADH4
128,ADH5
130,ADH6
131,ADH7
132,ADK
133,ADM
134,ADORA1
135,ADORA2A
136,ADORA2B
140,ADORA3
141,ADPRH
142,PARP1
143,PARP4
146,ADRA1D
147,ADRA1B
148,ADRA1A
150,ADRA2A
151,ADRA2B
152,ADRA2C
153,ADRB1
154,ADRB2
155,ADRB3
156,GRK2
157,GRK3
158,ADSL
159,ADSS
160,AP2A1
161,AP2A2
162,AP1B1
163,AP2B1
164,AP1G1
165,AEBP1
166,AES
167,CRISP1
173,AFM
174,AFP
175,AGA
176,ACAN
177,AGER
178,AGL
181,AGRP
182,JAG1
183,AGT
185,AGTR1
186,AGTR2
187,APLNR
189,AGXT
190,NR0B1
191,AHCY
196,AHR
197,AHSG
199,AIF1
202,CRYBG1
203,AK1
204,AK2
205,AK4
207,AKT1
208,AKT2
210,ALAD
211,ALAS1
212,ALAS2
213,ALB
214,ALCAM
215,ABCD1
216,ALDH1A1
217,ALDH2
218,ALDH3A1
219,ALDH1B1
220,ALDH1A3
221,ALDH3B1
222,ALDH3B2
223,ALDH9A1
224,ALDH3A2
225,ABCD2
226,ALDOA
229,ALDOB
230,ALDOC
231,AKR1B1
238,ALK
239,ALOX12
240,ALOX5
241,ALOX5AP
242,ALOX12B
246,ALOX15
247,ALOX15B
248,ALPI
249,ALPL
250,ALPP
251,ALPPL2
257,ALX3
258,AMBN
259,AMBP
262,AMD1
265,AMELX
266,AMELY
267,AMFR
268,AMH
